id,place_id,name,address,lat,lng,image,phone,url,user_id,created_at,updated_at
1,ChIJwyVuFfyLGGARLqrnGGLima8,"イノダコーヒ 東京大丸店","〒100-0005 東京都千代田区丸の内１丁目９−１ 大丸東京店8階",35.681434,139.769206,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwIl5T9EHo4I-ZotPI7OC53cukeYVU2lyO2eW323Na_FyFczfg8KgFZ4hB7uN0PpV8_dB6Dtj1Jd3_qXBK5f8KzGCapn39lnuzzqQH1fMPpFa9s4GdOUnAgEtAl5n1cShJ59Y9EheVFGhkvC3s6j6iz9liGs-sUNGoaFdhI8UBuJg1Yo&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=22974,03-3211-0033,http://www.inoda-coffee.co.jp/,1,"2021-01-23 08:55:38","2021-01-23 08:55:38"
2,ChIJZc0V9vuLGGAR33NDBc1Sl6w,"DEAN & DELUCA 八重洲","〒100-0005 東京都千代田区丸の内１丁目９−１ JR東日本東京駅構内 B1 GranSta内",35.681242,139.767695,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwJV3ahZDft3XOeHl1Tas6S_RNHMdB-L5h1buJzN5TlM5HoYLhKLh_JNlen24u1nErN9VU2mlnE2ILKclBsSvoEuaejKl8ETf6eTaAfL4EVeeuW33Aa3A6H9-mP9d8f6FfNp4_DXYpsaOC0lpZwg8edu5uU5ZEa7GaWTai4sTxLIDsCj&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=78800,03-5288-8040,https://www.deandeluca.co.jp/,1,"2021-01-23 08:55:40","2021-01-23 08:55:40"
3,ChIJF85czvuLGGARRv11tB6VP-Y,"TORAYA TOKYO (トラヤ トウキョウ)","〒100-0005 東京都千代田区丸の内１丁目９−１ 東京ステーションホテル 2F",35.680629,139.765540,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwKQZIDK7n4YT1unJapEfuW9A7V98Wf81AqzUnuMe_jP9Mvgg6XF4x6b6XxPCuzzD9ZTnf8rsf-ZYfzvXnycvXjyGhDz7zYq6X0yHH1qPT44UgbHSHcvtrv29q8adxw9Db4bNPYCBJFjpwxavvT7rwsAv9tMQ7YySCLwlfNLJNyCPkYA&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=73613,03-5220-2345,https://www.toraya-group.co.jp/toraya/shops/detail/?id=14,1,"2021-01-23 08:55:41","2021-01-23 08:55:41"
4,ChIJH8vQ7fmLGGARIe0Q73U-Fjg,"京橋千疋屋 丸ビル店","〒100-6390 東京都千代田区丸の内２丁目４−１ 丸の内ビルディング 地下1階",35.681035,139.763690,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwIobrztje735pXhJIJu-s8SNakInXbxmbhWLSXLQ-bS0FppK2ojneTri3Uaob6k6wZ2lq0neA2OtzSabpNHK6Sg4VVJfGHosC3Ru4XKKx940FAIN7dutnCvLjUWQqOWsdaTAxwD0GfmwaoDCi1bGrOtN31S_hE07jLxI8l7Lk9w92m6&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=124580,03-3201-0650,http://www.senbikiya.co.jp/maru.html,1,"2021-01-23 08:55:43","2021-01-23 08:55:43"
5,ChIJvYUNS_qLGGARRFqPN-P-h5I,"丸の内 CAFE 会","〒100-0005 東京都千代田区丸の内２丁目７−２ JPタワーKITTE 1F",35.679491,139.765241,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwKD1oXb_bLr9t4OJr0zWAERSUfaJSKqnvjsemdnJRas43HC1D9SPj9ew2uGoUNMtZf00bpXNiVAWn8N_X2UZIwXi8b4FXNTbkQuWfh00hKvxcv_nNloiYCweBrpeDr5OK0ypZS-7TFye0kOPqW5lQohWht0Zdk5zHfAu4W_P35xz0JR&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=45552,03-3217-2022,https://map.tullys.co.jp/tullys/detailMap?account=tullys&accmd=0&bid=629,1,"2021-01-23 08:55:48","2021-01-23 08:55:48"
6,ChIJvYUNS_qLGGARJDPRYErv7zU,"ドンピエールハート KITTE店","〒100-7005 東京都千代田区丸の内２丁目７−２ JPタワーKITTE 5F",35.680086,139.765053,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwJQ7oHiQyc4sae8nrY5sH6jnbTU0sglj63Zj9id8v19G1o7CV1BW9UXUvIJqGkEsGk8uMzxOnBtUF1Z_p8ZuC7jop8zkh5frV1hh-GhUmF4MilAsmCrxVjJrEAM50vFnMnRnb7ZrJ79COihqAKXH7Z0sk92hChsKNCF4pVT-IQpIGDG&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=99518,050-5269-8914,https://tokyo-dompierreheart.com/#utm_source=google&utm_medium=map,1,"2021-01-23 08:55:49","2021-01-23 08:55:49"
7,ChIJ8efq7_yLGGARl4Bk3OTxTeY,"アンクラー 八重洲","〒104-0028 東京都中央区八重洲２丁目１ 八重洲地下街外堀地下２番通り",35.681195,139.769602,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwIL3VSvQF4Gn1_Pi7p_mCTVRGSJq94NZga5X0u7yyqLinoqbe1Kuyq900bBJTaj6eWGTkA-TFtBJAWVTK1lHODmYdvxAQfgxbWoz6GZq0USGIyCe2ossN2T7AGyQUqC8cBrzMdnIgQ9xk_d_DW5LqDAWEAJlQkh3hJB5DM5WXhAYq7U&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=61077,03-6262-3717,https://restaurant-mrs.com/anclar_yaesu,1,"2021-01-23 08:55:52","2021-01-23 08:55:52"
8,ChIJGeYlX_mLGGARZQQuyYCgMZg,"XEX TOKYO Salvatore Cuomo Bros. / The BAR&Cafe","〒100-6701 東京都千代田区丸の内１丁目９−１ 大丸東京 13F",35.681713,139.768761,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwKg7km8F1VPwJYO1VD67JYGMGQWI_8wXyokw1kt-wJ5vKMDtEYEPfRM19YE3ybq5TgmaYOU4sx-nLZSrZo73qzA0ikd4Iy2UlJq4DA80k6GrVQatNxVZNjuTtCDyx4_5skQBkHONpX5VqTHyK0ItHaksgmnnzoEUg0TvqJCueWOekjz&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=75219,03-6266-0065,http://www.xexgroup.jp/tokyo,1,"2021-01-23 08:55:54","2021-01-23 08:55:54"
9,ChIJVVUxGf2LGGARYN7bqaeDPA4,"椿屋珈琲店 八重洲茶寮","〒103-0027 東京都中央区日本橋３丁目４−１６ 東和八重洲ビル",35.679982,139.770609,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwII4v5W_f52smP3GOSw43k252918cVe6B9WY0GNDjmZ1mPIf5f9ybgP4izpRMPpLTu5_NfxffM76_nYcHzpKcBjJd4h8tAmfkhpKCd1YUj9ZrMFNI6piSh1jdcYXyfnFmRCtKx6m-dNGZ3fB469MjliPLzodODOrL7_8OQrCej_tVVR&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=100010,03-6262-5435,http://www.towafood-net.co.jp/,1,"2021-01-23 08:55:55","2021-01-23 08:55:55"
10,ChIJGeYlX_mLGGARCyYhky8j7O8,"THE CAMPANELLA CAFE TOKYO｜東京","〒100-6701 東京都千代田区丸の内１丁目９−１",35.681455,139.769170,https://maps.googleapis.com/maps/api/place/js/PhotoService.GetPhoto?1sATtYBwJkYpDyjxPwL4laQJwBW1glmH79v9xqX_UC-C5JCotmcK-03A-r5vYQ3E12YFwixKS0TZTcQnuspTPpUtW6Kqjlx795nSGbfG6tMdDmDMlo7_xw7iqZjCT8j3uKdEa-4v6zGdpJ4sgUeicm6QWPaIqb4IovzyyikxownXN9cOMbT2EZ&3u320&5m1&2e1&callback=none&key=AIzaSyAlZfe8CRbb9p5j7WtpuvRKVChwiKZlcmw&token=44354,03-6268-0371,http://thecampanellacafe.com/,1,"2021-01-23 08:55:57","2021-01-23 08:55:57"
